sku	provisional_name	category	confidence	note
ORGCB05-P-18	Durian Charm	Travel & Lifestyle	high	Gold fruit in a silver spiked husk.
ORGCB06-P	Danish Flag Charm, Pave	Travel & Lifestyle	high	Dannebrog, white cross over pink pave stones.
ORGCB50P	Danish Flag Charm, Red Enamel	Travel & Lifestyle	high	Dannebrog, white cross over red enamel.
ORGCB07-18K	Lotus Flower Charm, 18K Gold	Nature	high	Pink and white enamel petals in a clear stone halo.
ORGCB07-P	Lotus Flower Charm	Nature	high	Same design, rhodium finish.
ORGCB08-18K	Tassel Charm, 18K Gold	Sparkle & Classic	high	Plain hanging tassel.
ORGCB08-P	Tassel Charm	Sparkle & Classic	high	Same design, rhodium finish.
ORGCB09-P	Whale Tail Charm	Animals	high	Blue pave fluke. Could also read as a mermaid tail.
ORGCB10-P	Royal Guard Charm	Travel & Lifestyle	medium	Danish Livgarde, red tunic and gold bearskin. CONFIRM NAME.
ORGCB11-18K	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Standing crowned figure with halo. DO NOT PUBLISH UNCONFIRMED.
ORGCB12-18K	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Seated figure on a lotus pedestal. DO NOT PUBLISH UNCONFIRMED.
ORGCB18	Temple Flag Charm	Travel & Lifestyle	LOW	White temple on blue and red enamel with stars. Reads as Angkor Wat. CONFIRM COUNTRY.
ORGCB19-18K	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Buddha head, gold. DO NOT PUBLISH UNCONFIRMED.
ORGCB19-P	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Same design, rhodium finish.
ORGCB20-18K	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Seated crowned figure, Thai style. DO NOT PUBLISH UNCONFIRMED.
ORGCB20-P	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Same design, rhodium finish.
ORGCB21-18K	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Buddha head, gold. DO NOT PUBLISH UNCONFIRMED.
ORGCB21-P	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Same design, rhodium finish.
ORGCB22-18K	Garuda Charm	HOLD	LOW	Winged figure on a plinth. Thai national emblem. NATIONAL SYMBOL, CONFIRM.
ORGCB22-P	Garuda Charm	HOLD	LOW	Same design, rhodium finish.
ORGCB23-18K	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Seated crowned figure. DO NOT PUBLISH UNCONFIRMED.
ORGCB23-P	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Same design, rhodium finish.
ORGCB24-18K	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Seated crowned figure, headdress. DO NOT PUBLISH UNCONFIRMED.
ORGCB24-P	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Same design, rhodium finish.
ORGCB25	Little Mermaid Charm	Travel & Lifestyle	high	Copenhagen's Den Lille Havfrue, figure seated on a rock.
ORGCB26-18K	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Figure riding an elephant under a canopy. DO NOT PUBLISH UNCONFIRMED.
ORGCB26-P	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Same design, rhodium finish.
ORGCB27	Coat of Arms Charm	Travel & Lifestyle	medium	Openwork heraldic crest with crown and shield, stars around the band. CONFIRM WHOSE ARMS.
ORGCB28-18K	Temple Lion Charm	HOLD	LOW	Singha guardian lion. CONFIRM.
ORGCB28-P	Temple Lion Charm	HOLD	LOW	Same design, rhodium finish.
ORGCB29-18K	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Standing figure, tall headdress. DO NOT PUBLISH UNCONFIRMED.
ORGCB29-P	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Same design, rhodium finish.
ORGCB30-18K	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Bust with tall headdress. DO NOT PUBLISH UNCONFIRMED.
ORGCB30-P	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Same design, rhodium finish.
ORGCB51-WY	Daisy Charm, White and Yellow	Nature	high	Enamel daisy, white petals, yellow centre.
ORGCB51-YL	Daisy Charm, Blue	Nature	high	Blue enamel petals with a yellow centre.
ORGCB51-YP	Daisy Charm, Purple	Nature	high	Purple and white enamel petals with a yellow centre.
ORGCB51-YR	Daisy Charm, Red	Nature	high	Red and white enamel petals with a yellow centre.
ORGCB51-P	Daisy Dangle, Pink	Nature	high	Pink and white enamel petals with a yellow centre.
ORGCB52-L	Fortune Charm, Blue Enamel	Milestones & Sentiment	high	Chinese character fu, fortune, in blue enamel on a white tag.
ORGCB53-L	Longevity Charm, Blue Enamel	Milestones & Sentiment	high	Chinese character shou, longevity, in blue enamel.
ORGCB54-L	Prosperity Charm, Blue Enamel	Milestones & Sentiment	high	Chinese character lu, prosperity, in blue enamel on a white tag.
ORGCB55-L	Good Luck Charm, Blue Enamel	Milestones & Sentiment	medium	Chinese character reading as ji, auspicious. CONFIRM CHARACTER.
ORGCB56-B	Love Charm, Black Enamel	Milestones & Sentiment	high	Chinese character ai with the word Love beneath.
ORGCB56-L	Love Charm, Blue Enamel	Milestones & Sentiment	medium	Presumed blue version of ORGCB56-B. NO IMAGE IN HD PICTURE.
ORGCB57-Z	Acorn Charm	Nature	high	Silver cap over brown enamel, green enamel leaf.
ORGCB58-LVR	Good Luck Clover Charm	Nature	high	Green enamel four leaf clover with a red ladybird, lettered Good luck.
ORCB214	Flamingo Charm	Animals	high	Openwork round bead with a flamingo silhouette.
ORGCB109	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Seated figure in a temple niche, oxidized silver. DO NOT PUBLISH UNCONFIRMED.
ORGCB110	RELIGIOUS FIGURE, unnamed	HOLD	LOW	Standing many-armed crowned figure. RELIGIOUS. DO NOT PUBLISH UNCONFIRMED.
ORGCB175	Top Hat Portrait Charm	Travel & Lifestyle	medium	Profile of a figure in a top hat, stars around the band. Given the Danish set (Little Mermaid, Dannebrog, Royal Guard) this most likely depicts Hans Christian Andersen. CONFIRM BEFORE NAMING HIM.
ORGCB177	Festival Scene Charm	Travel & Lifestyle	LOW	Openwork disc showing figures with tall poles, stars around the band. A traditional dance or festival scene, origin unclear. CONFIRM SUBJECT.
ORGCB181	Aubergine Charm	Nature	high	Purple enamel aubergine with green enamel leaves.
ORGCB185-14K	Lemon Charm, 14K Gold	Nature	high	Gold lemon with green enamel leaves.
GCB56-R	Love Charm, Red Enamel	Milestones & Sentiment	high	Chinese character ai in red enamel with the word Love beneath. Confirms the handoff's reading: this is the red sibling of ORGCB56-B (black) and ORGCB56-L (blue). SKU written in canonical OR form though the invoice prints GCB56-R.
