invoice_row,model_no,sku,handle,product_name,line,type,category,price_tier,retail_thb,retail_usd,cost_usd,weight_g,size_mm,material,metal_finish,stone,stock_qty,description_html,image_url_1,seo_title,seo_description,quote_text,invoice_image,notes
227,ORCBB01-17,ORCBB01-17,snake-chain-bracelet-17cm,"Snake Chain Bracelet, 17cm",A,Bracelet,,Base,2800,89,22.15,13.16,17cm,925 Sterling Silver+AAAA CZ,,White CZ,44,"<p style=""font-family: Inter, sans-serif;"">A 17cm snake chain in 925 sterling silver with a round clasp set with clear stones. Rhodium plated.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Stone:</strong> White CZ<br>
<strong>Length:</strong> 17cm<br>
<strong>Weight:</strong> 13.16g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Takes all Orloff charms.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Snake Chain Bracelet, 17cm | Orloff of Denmark",A 17cm snake chain in 925 sterling silver with a round clasp set with clear stones.,,img_0221.jpg,
228,ORCBB01-19,ORCBB01-19,snake-chain-bracelet-19cm,"Snake Chain Bracelet, 19cm",A,Bracelet,,Base,2800,89,23.95,14.40,19cm,925 Sterling Silver+AAAA CZ,,White CZ,44,"<p style=""font-family: Inter, sans-serif;"">A 19cm snake chain in 925 sterling silver with a round clasp set with clear stones. Rhodium plated.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Stone:</strong> White CZ<br>
<strong>Length:</strong> 19cm<br>
<strong>Weight:</strong> 14.40g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Takes all Orloff charms.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Snake Chain Bracelet, 19cm | Orloff of Denmark",A 19cm snake chain in 925 sterling silver with a round clasp set with clear stones.,,img_0221.jpg,
229,ORCBB01-21,ORCBB01-21,snake-chain-bracelet-21cm,"Snake Chain Bracelet, 21cm",A,Bracelet,,Base,2800,89,26.85,16.50,21cm,925 Sterling Silver+AAAA CZ,,White CZ,46,"<p style=""font-family: Inter, sans-serif;"">A 21cm snake chain in 925 sterling silver with a round clasp set with clear stones. Rhodium plated.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Stone:</strong> White CZ<br>
<strong>Length:</strong> 21cm<br>
<strong>Weight:</strong> 16.50g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Takes all Orloff charms.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Snake Chain Bracelet, 21cm | Orloff of Denmark",A 21cm snake chain in 925 sterling silver with a round clasp set with clear stones.,,img_0221.jpg,
390,ORGCB05-P-18,ORGCB05-P-18,durian-charm,Durian Charm,A,Charm,Travel & Lifestyle,Signature,1200,39,5.09,2,12.5 x 8mm,925 Sterling Silver,"Rhodium Plated, 18K Gold",,30,"<p style=""font-family: Inter, sans-serif;"">Gold fruit in a silver spiked husk.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated, 18K Gold<br>
<strong>Size:</strong> 12.5 x 8mm<br>
<strong>Weight:</strong> 2g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Durian Charm | Orloff of Denmark,Gold fruit in a silver spiked husk.,,img_0380.jpg,"Identified from the invoice photograph, confidence high"
391,ORGCB06-P,ORGCB06-P,danish-flag-charm-pave,"Danish Flag Charm, Pave",A,Charm,Travel & Lifestyle,Statement,1600,49,7.09,2.1,11 x 10mm,925 Sterling Silver,Rhodium Plated,Red stone,15,"<p style=""font-family: Inter, sans-serif;"">Dannebrog, white cross over pink pave stones.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Red stone<br>
<strong>Size:</strong> 11 x 10mm<br>
<strong>Weight:</strong> 2.1g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Danish Flag Charm, Pave | Orloff of Denmark","Dannebrog, white cross over pink pave stones.",,img_0381.jpg,"Identified from the invoice photograph, confidence high"
392,ORGCB50P,ORGCB50P,danish-flag-charm-red-enamel,"Danish Flag Charm, Red Enamel",A,Charm,Travel & Lifestyle,Statement,1600,49,7.09,2.1,11 x 10mm,925 Sterling Silver,"Rhodium Plated, Red Enamel",,15,"<p style=""font-family: Inter, sans-serif;"">Dannebrog, white cross over red enamel.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated, Red Enamel<br>
<strong>Size:</strong> 11 x 10mm<br>
<strong>Weight:</strong> 2.1g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Danish Flag Charm, Red Enamel | Orloff of Denmark","Dannebrog, white cross over red enamel.",,img_0382.jpg,"Identified from the invoice photograph, confidence high"
393,ORGCB07-18K,ORGCB07-18K,lotus-flower-charm-18k-gold,"Lotus Flower Charm, 18K Gold",A,Charm,Nature,Signature,1200,39,5.81,1.9,10.5 x 10.5 x 11.2mm,925 Sterling Silver,"18K Gold Plated, Enamel",,15,"<p style=""font-family: Inter, sans-serif;"">Pink and white enamel petals in a clear stone halo.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> 18K Gold Plated, Enamel<br>
<strong>Size:</strong> 10.5 x 10.5 x 11.2mm<br>
<strong>Weight:</strong> 1.9g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Lotus Flower Charm, 18K Gold | Orloff of Denmark",Pink and white enamel petals in a clear stone halo.,,img_0384.jpg,"Identified from the invoice photograph, confidence high"
394,ORGCB07-P,ORGCB07-P,lotus-flower-charm,Lotus Flower Charm,A,Charm,Nature,Signature,1200,39,6.04,1.9,10.5 x 10.5 x 11.2mm,925 Sterling Silver,"Rhodium Plating, Enamel",,15,"<p style=""font-family: Inter, sans-serif;"">Same design, rhodium finish.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plating, Enamel<br>
<strong>Size:</strong> 10.5 x 10.5 x 11.2mm<br>
<strong>Weight:</strong> 1.9g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Lotus Flower Charm | Orloff of Denmark,"Same design, rhodium finish.",,img_0383.jpg,"Identified from the invoice photograph, confidence high"
395,ORGCB08-P,ORGCB08-P,tassel-charm,Tassel Charm,A,Charm,Sparkle & Classic,Signature,1200,39,5.49,2.50,10.5 x 7.3 x 8.5mm,925 Sterling Silver,Rhodium Plated,,15,"<p style=""font-family: Inter, sans-serif;"">Same design, rhodium finish.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Size:</strong> 10.5 x 7.3 x 8.5mm<br>
<strong>Weight:</strong> 2.50g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Tassel Charm | Orloff of Denmark,"Same design, rhodium finish.",,img_0386.jpg,"Identified from the invoice photograph, confidence high"
396,ORGCB08-18K,ORGCB08-18K,tassel-charm-18k-gold,"Tassel Charm, 18K Gold",A,Charm,Sparkle & Classic,Signature,1200,39,5.26,2.50,10.5 x 7.3 x 8.5mm,925 Sterling Silver,18K Gold Plated,,15,"<p style=""font-family: Inter, sans-serif;"">Plain hanging tassel.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> 18K Gold Plated<br>
<strong>Size:</strong> 10.5 x 7.3 x 8.5mm<br>
<strong>Weight:</strong> 2.50g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Tassel Charm, 18K Gold | Orloff of Denmark",Plain hanging tassel.,,img_0385.jpg,"Identified from the invoice photograph, confidence high"
