sku	provisional_name	category	confidence	note
ORCB01	Whale Charm	Animals	high	Blue enamel body, silver belly and tail, black stone eye.
ORCB02	Turtle Charm	Animals	high	Yellow enamel shell with blue spots, black enamel feet.
ORCB03	Elephant Charm	Animals	high	Polished silver with a red enamel tip to the raised trunk.
ORCB04	NOT IDENTIFIED		LOW	Small dimpled sphere on a thin neck joined to a larger dimpled sphere, two legs, oval base with scrollwork. White and red enamel, 11.5mm. Looked at twice; reads plausibly as a sheep, a swan or a poodle and I will not guess. NEEDS VIKTOR.
ORCB05	Unicorn Charm	Animals	high	Winged unicorn dangle in polished silver, black enamel eye.
ORCB06	Fox Charm, Rose Gold	Animals	medium	Rose gold plated with a white enamel face. Could be a cat. CONFIRM.
ORCB07	Hippo Charm	Animals	high	Polished silver hippopotamus with oxidized detail.
ORCB08	Rabbit Charm	Animals	high	Seated rabbit in polished silver with pink enamel ears and paws.
ORCB09	Puppy Charm	Animals	high	Seated long-eared dog with a star pendant set with a clear stone.
ORCB10	Carousel Charm	Travel & Lifestyle	high	Oxidized silver merry-go-round with horses under a canopy.
ORCB11	Birthday Balloon Charm	Milestones & Sentiment	high	Balloon bead lettered birthday, black enamel spots, clear stones.
ORCB12	Boy Charm	Milestones & Sentiment	high	Boy figure dangle holding a heart set with clear stones.
ORCB13	Girl Charm	Milestones & Sentiment	high	Girl figure dangle holding a basket, clear stones on the skirt.
ORCB14	Couple in a Boat Charm	Milestones & Sentiment	high	Two figures in a boat with a red enamel heart and turquoise trim.
ORCB15	Footballer Charm	Travel & Lifestyle	high	Boy in a cap holding a black and white enamel football.
ORCB16	Gondola Charm	Travel & Lifestyle	high	Gondolier poling a gondola, pink and blue enamel.
ORCB17	Sisters Charm	Milestones & Sentiment	high	Two girls side by side in mint and pink enamel dresses.
ORCB18	Folk Costume Couple Charm	Travel & Lifestyle	medium	Couple in traditional dress, black and red hats, red and yellow skirt. CONFIRM WHICH COSTUME.
ORCB20	Easter Basket Charm	Milestones & Sentiment	high	Basket of purple enamel eggs under a silver bow, clear stones.
ORCB21	Palm Tree Charm	Nature	high	Palm tree dangle set with green stones.
ORCB22	Daisy Heart Charm	Milestones & Sentiment	high	Heart bead with a red and yellow enamel daisy set inside.
ORCB23	Daisy Heart Dangle	Milestones & Sentiment	high	Open heart outlined in clear stones with a yellow enamel daisy.
ORCB25	Christmas Sleigh Charm	Milestones & Sentiment	high	Sleigh carrying red and yellow enamel gifts, clear stones.
ORCB26	Coffee Cup Charm	Travel & Lifestyle	high	Cup lettered I love COFFEE with a red enamel heart and brown interior.
ORCB27	Cupcake Charm	Milestones & Sentiment	high	Yellow enamel frosting with pink stones and a green candle.
ORCB28	Champagne Toast Charm	Travel & Lifestyle	high	Two clinking glasses in purple enamel with clear stones and a lemon slice.
ORCB29	Engagement Ring Charm	Milestones & Sentiment	high	Solitaire ring and band pair, pave shoulders.
ORCB30	Baby Pram Charm	Milestones & Sentiment	high	Pram with a rose gold enamel bow and clear stone wheels.
ORCB34	Openwork Hearts Charm, Pink	Milestones & Sentiment	high	Cut-out hearts between bands of pink and white stones.
ORCB35	Four Leaf Clover Charm	Nature	high	Clover set with clear stones throughout.
ORCB36	Crystal Cluster Charm, Blue	Sparkle & Classic	high	Mixed blue and clear crystals set close over the whole bead.
ORCB37	Heart Charm, Light Blue Enamel	Milestones & Sentiment	high	Polished heart on a ground of light blue and white enamel spots.
ORCB38	Butterfly Charm, Light Blue	Animals	high	Light blue enamel butterfly on an oxidized openwork bead.
ORCB39	Primrose Charm, Light Blue	Nature	high	Light blue and white enamel flowers with clear stone centres.
ORCB40	Red Rose Charm	Nature	high	Red enamel rose dangle on a scrolled heart bail.
ORCB41	Love Padlock Charm, Blue	Milestones & Sentiment	high	Heart padlock in blue enamel lettered Love.
ORCB42	Butterfly Charm, Pink	Animals	high	Pink enamel butterfly dangle, wings folded.
ORCB43	Cherry Blossom Charm, Pink	Nature	high	Five pink enamel petals around a single clear stone.
ORCB44	Pave Heart Charm, Pink	Milestones & Sentiment	high	Heart dangle set throughout with pink stones.
ORCB45	Daisy Charm, Pink	Nature	high	Pink enamel petals around a pave centre.
ORCB46	Sunglasses Charm	Travel & Lifestyle	high	Black enamel sunglasses dangle.
ORCB47	Teddy Bear Charm	Animals	high	Seated bear in brown enamel with black enamel paws.
ORCB48	Baby Shoe Charm, Blue	Milestones & Sentiment	high	Light blue enamel shoe with white flowers and blue stones.
ORCB49	Linked Hearts Charm	Milestones & Sentiment	high	Two open hearts interlinked, clear stones on the bail.
ORCB50	Dragonfly Crystal Charm	Nature	medium	Openwork bead with white enamel wing shapes and blue and orange stones. Could read as flowers. CONFIRM SUBJECT.
ORCB51	Royal Carriage Charm	Travel & Lifestyle	high	Open carriage with spoked wheels, a seated figure and gold flowers.
ORCB52	Blossom and Butterfly Charm	Nature	high	Pink and white enamel flowers with a pave butterfly dangle.
ORCB53	Angel Pearl Charm	Milestones & Sentiment	high	White shell pearl with pave wings.
ORCB54	Devil Pearl Charm	Milestones & Sentiment	high	Grey shell pearl with pave wings, horns and a tail.
ORCB55	Dreamcatcher Charm	Travel & Lifestyle	high	Openwork hoop with a magenta stone, feathers and coloured drops.
ORCB56	Crown Charm	Sparkle & Classic	high	Crown set with pink and purple stones.
ORCB58	Scissors and Comb Charm	Travel & Lifestyle	high	Hairdresser's scissors and comb dangle in polished silver.
ORCB59	Takeaway Coffee Charm	Travel & Lifestyle	high	Lidded cup in brown enamel lettered COFFEE with rising steam.
ORCB60	Owl Charm, Turquoise	Animals	high	Turquoise enamel owl with pave brow and blue stone eyes.
ORCB61	Origami Crane Charm	Travel & Lifestyle	high	Folded paper crane in polished silver.
ORCB62	Family Tree Charm	Milestones & Sentiment	high	Tree of life in a beaded hoop with rose gold hearts and a Family tag.
ORCB63	Puzzle Heart Charm	Milestones & Sentiment	high	Heart worked as a jigsaw with a gold puzzle piece lettered YOU.
ORCB64	Sunglasses and Stiletto Charm	Travel & Lifestyle	high	Black enamel sunglasses beside a red enamel high heel.
ORCB65	Flamingo Charm, Pink	Animals	high	Standing flamingo in graded pink enamel with pave detail.
ORCB66	Violin Charm	Travel & Lifestyle	high	Violin in brown enamel with silver strings and pegs.
ORCB67	Feather Charm	Nature	medium	Tapering feather with a beaded bow at the quill. CONFIRM SUBJECT.
ORCB70	Witch Hat Charm	Milestones & Sentiment	high	Pointed hat in black enamel with applied silver stars.
ORCB71	Key Charm, Red Enamel	Milestones & Sentiment	medium	Red enamel key over a rounded fob. Reads as a new home piece. CONFIRM.
