invoice_row,model_no,sku,handle,product_name,line,type,category,price_tier,retail_thb,retail_usd,cost_usd,weight_g,size_mm,material,metal_finish,stone,stock_qty,description_html,image_url_1,seo_title,seo_description,quote_text,invoice_image,notes
85,ORCB01,ORCB01,whale-charm,Whale Charm,A,Charm,Animals,Classic,900,29,3.75,1.55,14.5mm x 7mm,925 Sterling Silver,Oxidized Silver,Black CZ + Blue Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Blue enamel body, silver belly and tail, black stone eye.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black CZ + Blue Enamel<br>
<strong>Size:</strong> 14.5mm x 7mm<br>
<strong>Weight:</strong> 1.55g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Whale Charm | Orloff of Denmark,"Blue enamel body, silver belly and tail, black stone eye.",,img_0077.jpg,"Identified from the invoice photograph, confidence high"
86,ORCB02,ORCB02,turtle-charm,Turtle Charm,A,Charm,Animals,Classic,900,29,3.84,1.69,12mm,925 Sterling Silver,Oxidized Silver,Orange+Black+ Blue Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Yellow enamel shell with blue spots, black enamel feet.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Orange+Black+ Blue Enamel<br>
<strong>Size:</strong> 12mm<br>
<strong>Weight:</strong> 1.69g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Turtle Charm | Orloff of Denmark,"Yellow enamel shell with blue spots, black enamel feet.",,img_0078.jpg,"Identified from the invoice photograph, confidence high"
87,ORCB03,ORCB03,elephant-charm,Elephant Charm,A,Charm,Animals,Classic,900,29,4.03,2,13mm,925 Sterling Silver,Oxidized Silver,Black+ Red Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Polished silver with a red enamel tip to the raised trunk.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black+ Red Enamel<br>
<strong>Size:</strong> 13mm<br>
<strong>Weight:</strong> 2g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Elephant Charm | Orloff of Denmark,Polished silver with a red enamel tip to the raised trunk.,,img_0079.jpg,"Identified from the invoice photograph, confidence high"
88,ORCB04,ORCB04,,,A,Charm,,Classic,900,29,4.38,2.79,11.5mm,925 Sterling Silver,Oxidized Silver,White+ Red Enamel,10,,,,,,img_0080.jpg,"HOLD, not named: Small dimpled sphere on a thin neck joined to a larger dimpled sphere, two legs, oval base with scrollwork. White and red enamel, 11.5mm. Looked at twice; reads plausibly as a sheep, a swan or a poodle and I will not guess. NEEDS VIKTOR."
89,ORCB05,ORCB05,unicorn-charm,Unicorn Charm,A,Charm,Animals,Signature,1200,39,5.12,2.84,13mm,925 Sterling Silver,Oxidized Silver,Black Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Winged unicorn dangle in polished silver, black enamel eye.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black Enamel<br>
<strong>Size:</strong> 13mm<br>
<strong>Weight:</strong> 2.84g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Unicorn Charm | Orloff of Denmark,"Winged unicorn dangle in polished silver, black enamel eye.",,img_0081.jpg,"Identified from the invoice photograph, confidence high"
90,ORCB06,ORCB06,fox-charm-rose-gold,"Fox Charm, Rose Gold",A,Charm,Animals,Classic,900,29,4.15,1.79,12mm,925 Sterling Silver,Rosegold Plated,White Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Rose gold plated with a white enamel face. Could be a cat.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rosegold Plated<br>
<strong>Stone:</strong> White Enamel<br>
<strong>Size:</strong> 12mm<br>
<strong>Weight:</strong> 1.79g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,"Fox Charm, Rose Gold | Orloff of Denmark",Rose gold plated with a white enamel face.,,img_0082.jpg,"Identified from the invoice photograph, confidence medium. NEEDS CONFIRMATION"
91,ORCB07,ORCB07,hippo-charm,Hippo Charm,A,Charm,Animals,Classic,900,29,2.92,1.18,8mm,925 Sterling Silver,Oxidized Silver,,10,"<p style=""font-family: Inter, sans-serif;"">Polished silver hippopotamus with oxidized detail.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Size:</strong> 8mm<br>
<strong>Weight:</strong> 1.18g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Hippo Charm | Orloff of Denmark,Polished silver hippopotamus with oxidized detail.,,img_0083.jpg,"Identified from the invoice photograph, confidence high"
92,ORCB08,ORCB08,rabbit-charm,Rabbit Charm,A,Charm,Animals,Classic,900,29,4.05,1.77,13.5mm,925 Sterling Silver,Oxidized Silver,Black+ Pink Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Seated rabbit in polished silver with pink enamel ears and paws.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black+ Pink Enamel<br>
<strong>Size:</strong> 13.5mm<br>
<strong>Weight:</strong> 1.77g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Rabbit Charm | Orloff of Denmark,Seated rabbit in polished silver with pink enamel ears and paws.,,img_0086.jpg,"Identified from the invoice photograph, confidence high"
93,ORCB09,ORCB09,puppy-charm,Puppy Charm,A,Charm,Animals,Classic,900,29,4.42,2.06,12.5mm,925 Sterling Silver,Oxidized Silver,White CZ+Black Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Seated long-eared dog with a star pendant set with a clear stone.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> White CZ+Black Enamel<br>
<strong>Size:</strong> 12.5mm<br>
<strong>Weight:</strong> 2.06g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Puppy Charm | Orloff of Denmark,Seated long-eared dog with a star pendant set with a clear stone.,,img_0087.jpg,"Identified from the invoice photograph, confidence high"
94,ORCB10,ORCB10,carousel-charm,Carousel Charm,A,Charm,Travel & Lifestyle,Signature,1200,39,4.76,2.63,21mm,925 Sterling Silver,Oxidized Silver,Stone :None,10,"<p style=""font-family: Inter, sans-serif;"">Oxidized silver merry-go-round with horses under a canopy.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Stone :None<br>
<strong>Size:</strong> 21mm<br>
<strong>Weight:</strong> 2.63g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Carousel Charm | Orloff of Denmark,Oxidized silver merry-go-round with horses under a canopy.,,img_0088.jpg,"Identified from the invoice photograph, confidence high"
95,ORCB11,ORCB11,birthday-balloon-charm,Birthday Balloon Charm,A,Charm,Milestones & Sentiment,Signature,1200,39,5.24,2.62,12.5mm,925 Sterling Silver,Oxidized Silver,Black+ Red Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Balloon bead lettered birthday, black enamel spots, clear stones.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black+ Red Enamel<br>
<strong>Size:</strong> 12.5mm<br>
<strong>Weight:</strong> 2.62g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Birthday Balloon Charm | Orloff of Denmark,"Balloon bead lettered birthday, black enamel spots, clear stones.",,img_0089.jpg,"Identified from the invoice photograph, confidence high"
96,ORCB12,ORCB12,boy-charm,Boy Charm,A,Charm,Milestones & Sentiment,Classic,900,29,3.54,1.49,21.5mm,925 Sterling Silver,Oxidized Silver,White CZ,10,"<p style=""font-family: Inter, sans-serif;"">Boy figure dangle holding a heart set with clear stones.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> White CZ<br>
<strong>Size:</strong> 21.5mm<br>
<strong>Weight:</strong> 1.49g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Boy Charm | Orloff of Denmark,Boy figure dangle holding a heart set with clear stones.,,img_0090.jpg,"Identified from the invoice photograph, confidence high"
97,ORCB13,ORCB13,girl-charm,Girl Charm,A,Charm,Milestones & Sentiment,Classic,900,29,3.30,1.45,20mm,925 Sterling Silver,Oxidized Silver,White CZ,9,"<p style=""font-family: Inter, sans-serif;"">Girl figure dangle holding a basket, clear stones on the skirt.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> White CZ<br>
<strong>Size:</strong> 20mm<br>
<strong>Weight:</strong> 1.45g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Girl Charm | Orloff of Denmark,"Girl figure dangle holding a basket, clear stones on the skirt.",,img_0091.jpg,"Identified from the invoice photograph, confidence high"
98,ORCB14,ORCB14,couple-in-a-boat-charm,Couple in a Boat Charm,A,Charm,Milestones & Sentiment,Classic,900,29,3.77,1.36,18mm,925 Sterling Silver,Oxidized Silver,White CZ+Red &Blue Enamel,9,"<p style=""font-family: Inter, sans-serif;"">Two figures in a boat with a red enamel heart and turquoise trim.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> White CZ+Red &Blue Enamel<br>
<strong>Size:</strong> 18mm<br>
<strong>Weight:</strong> 1.36g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Couple in a Boat Charm | Orloff of Denmark,Two figures in a boat with a red enamel heart and turquoise trim.,,img_0092.jpg,"Identified from the invoice photograph, confidence high"
99,ORCB15,ORCB15,footballer-charm,Footballer Charm,A,Charm,Travel & Lifestyle,Classic,900,29,3.50,1.97,22mm,925 Sterling Silver,Oxidized Silver,Black Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Boy in a cap holding a black and white enamel football.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black Enamel<br>
<strong>Size:</strong> 22mm<br>
<strong>Weight:</strong> 1.97g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Footballer Charm | Orloff of Denmark,Boy in a cap holding a black and white enamel football.,,img_0093.jpg,"Identified from the invoice photograph, confidence high"
100,ORCB16,ORCB16,gondola-charm,Gondola Charm,A,Charm,Travel & Lifestyle,Classic,900,29,3.72,1.81,11mm,925 Sterling Silver,Oxidized Silver,Blue+ Pink Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Gondolier poling a gondola, pink and blue enamel.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Blue+ Pink Enamel<br>
<strong>Size:</strong> 11mm<br>
<strong>Weight:</strong> 1.81g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Gondola Charm | Orloff of Denmark,"Gondolier poling a gondola, pink and blue enamel.",,img_0094.jpg,"Identified from the invoice photograph, confidence high"
101,ORCB17,ORCB17,sisters-charm,Sisters Charm,A,Charm,Milestones & Sentiment,Signature,1200,39,5.48,2.95,10mm,925 Sterling Silver,Oxidized Silver,Blue+ Pink Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Two girls side by side in mint and pink enamel dresses.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Blue+ Pink Enamel<br>
<strong>Size:</strong> 10mm<br>
<strong>Weight:</strong> 2.95g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Sisters Charm | Orloff of Denmark,Two girls side by side in mint and pink enamel dresses.,,img_0095.jpg,"Identified from the invoice photograph, confidence high"
102,ORCB18,ORCB18,folk-costume-couple-charm,Folk Costume Couple Charm,A,Charm,Travel & Lifestyle,Signature,1200,39,5.10,2.52,10.5mm,925 Sterling Silver,Oxidized Silver,Black+ Red +Yellow Enamel,9,"<p style=""font-family: Inter, sans-serif;"">Couple in traditional dress, black and red hats, red and yellow skirt.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black+ Red +Yellow Enamel<br>
<strong>Size:</strong> 10.5mm<br>
<strong>Weight:</strong> 2.52g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Folk Costume Couple Charm | Orloff of Denmark,"Couple in traditional dress, black and red hats, red and yellow skirt.",,img_0096.jpg,"Identified from the invoice photograph, confidence medium. NEEDS CONFIRMATION"
103,ORCB20,ORCB20,easter-basket-charm,Easter Basket Charm,A,Charm,Milestones & Sentiment,Classic,900,29,3.28,1.64,21.5mm,925 Sterling Silver,Oxidized Silver,Purple Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Basket of purple enamel eggs under a silver bow, clear stones.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Purple Enamel<br>
<strong>Size:</strong> 21.5mm<br>
<strong>Weight:</strong> 1.64g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Easter Basket Charm | Orloff of Denmark,"Basket of purple enamel eggs under a silver bow, clear stones.",,img_0097.jpg,"Identified from the invoice photograph, confidence high"
104,ORCB21,ORCB21,palm-tree-charm,Palm Tree Charm,A,Charm,Nature,Classic,900,29,2.87,1.03,22mm,925 Sterling Silver,Oxidized Silver,Green CZ,10,"<p style=""font-family: Inter, sans-serif;"">Palm tree dangle set with green stones.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Green CZ<br>
<strong>Size:</strong> 22mm<br>
<strong>Weight:</strong> 1.03g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Palm Tree Charm | Orloff of Denmark,Palm tree dangle set with green stones.,,img_0098.jpg,"Identified from the invoice photograph, confidence high"
105,ORCB22,ORCB22,daisy-heart-charm,Daisy Heart Charm,A,Charm,Milestones & Sentiment,Signature,1200,39,4.59,2.23,10mm,925 Sterling Silver,Oxidized Silver,Pink+Yellow Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Heart bead with a red and yellow enamel daisy set inside.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Pink+Yellow Enamel<br>
<strong>Size:</strong> 10mm<br>
<strong>Weight:</strong> 2.23g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Daisy Heart Charm | Orloff of Denmark,Heart bead with a red and yellow enamel daisy set inside.,,img_0099.jpg,"Identified from the invoice photograph, confidence high"
106,ORCB23,ORCB23,daisy-heart-dangle,Daisy Heart Dangle,A,Charm,Milestones & Sentiment,Classic,900,29,3.52,1.29,17.5mm,925 Sterling Silver,Oxidized Silver,White CZ +Red &Yellow Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Open heart outlined in clear stones with a yellow enamel daisy.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> White CZ +Red &Yellow Enamel<br>
<strong>Size:</strong> 17.5mm<br>
<strong>Weight:</strong> 1.29g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Daisy Heart Dangle | Orloff of Denmark,Open heart outlined in clear stones with a yellow enamel daisy.,,img_0100.jpg,"Identified from the invoice photograph, confidence high"
107,ORCB25,ORCB25,christmas-sleigh-charm,Christmas Sleigh Charm,A,Charm,Milestones & Sentiment,Classic,900,29,4.07,2.01,12mm,925 Sterling Silver,Oxidized Silver,White CZ +Red &Yellow Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Sleigh carrying red and yellow enamel gifts, clear stones.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> White CZ +Red &Yellow Enamel<br>
<strong>Size:</strong> 12mm<br>
<strong>Weight:</strong> 2.01g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Christmas Sleigh Charm | Orloff of Denmark,"Sleigh carrying red and yellow enamel gifts, clear stones.",,img_0101.jpg,"Identified from the invoice photograph, confidence high"
108,ORCB26,ORCB26,coffee-cup-charm,Coffee Cup Charm,A,Charm,Travel & Lifestyle,Classic,900,29,3.93,1.79,10.5mm,925 Sterling Silver,Oxidized Silver,Red +Brown Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Cup lettered I love COFFEE with a red enamel heart and brown interior.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Red +Brown Enamel<br>
<strong>Size:</strong> 10.5mm<br>
<strong>Weight:</strong> 1.79g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Coffee Cup Charm | Orloff of Denmark,Cup lettered I love COFFEE with a red enamel heart and brown interior.,,img_0102.jpg,"Identified from the invoice photograph, confidence high"
109,ORCB27,ORCB27,cupcake-charm,Cupcake Charm,A,Charm,Milestones & Sentiment,Signature,1200,39,4.99,2.64,12.5mm,925 Sterling Silver,Oxidized Silver,Pink CZ +Green &Yellow Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Yellow enamel frosting with pink stones and a green candle.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Pink CZ +Green &Yellow Enamel<br>
<strong>Size:</strong> 12.5mm<br>
<strong>Weight:</strong> 2.64g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Cupcake Charm | Orloff of Denmark,Yellow enamel frosting with pink stones and a green candle.,,img_0103.jpg,"Identified from the invoice photograph, confidence high"
110,ORCB28,ORCB28,champagne-toast-charm,Champagne Toast Charm,A,Charm,Travel & Lifestyle,Classic,900,29,2.76,1.11,13mm,925 Sterling Silver,Oxidized Silver,White CZ+Purple &Yellow Enamel,10,"<p style=""font-family: Inter, sans-serif;"">Two clinking glasses in purple enamel with clear stones and a lemon slice.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> White CZ+Purple &Yellow Enamel<br>
<strong>Size:</strong> 13mm<br>
<strong>Weight:</strong> 1.11g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>",,Champagne Toast Charm | Orloff of Denmark,Two clinking glasses in purple enamel with clear stones and a lemon slice.,,img_0104.jpg,"Identified from the invoice photograph, confidence high"
